candidate_project_id,candidate_name,country,region,site_or_portfolio_id,developer,offtaker,business_model,installed_capacity_kwp,annual_generation_kwh,commissioning_year,project_status,ppa_exists,ppa_tenor_years,customer_load_or_self_consumption,project_cost_local,financing_amount_local,financing_structure,source_ids,evidence_class,source_quality_grade,identity_score,location_score,developer_score,offtaker_score,business_model_score,installed_capacity_score,generation_score,commissioning_status_score,ppa_existence_score,ppa_tenor_score,load_self_consumption_score,project_cost_score,financing_amount_score,financing_structure_score,official_source_redundancy_score,total_score,evidence_grade,selection_status,model_mode,notes
IN-FPEL-ARISUDHANA,FPEL Arisudhana rooftop,India,India,Ludhiana Punjab,Fourth Partner Energy,Arisudhana,ONSITE_SELF_CONSUMPTION,2090,30500000,,COMMISSIONED,NO,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,FPEL-ARISUDHANA,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,2,0,6,0,0,5,1,71,ACCEPTABLE,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,30.5m claim flagged outlier.
IN-FPEL-SOLARA-CUDDALORE,Solara Cuddalore rooftop,India,India,Cuddalore Tamil Nadu,Fourth Partner Energy,Solara Active Pharma,ONSITE_PPA,453,,,OPERATING,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,FPEL-SOLARA,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,453 kWp OPEX.
IN-FPEL-SOLARA-MYSORE,Solara Mysore rooftop,India,India,Mysore Karnataka,Fourth Partner Energy,Solara Active Pharma,ONSITE_PPA,169,,,OPERATING,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,FPEL-SOLARA,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,169 kWp OPEX.
IN-FPEL-SOLARA-PUDUCHERRY,Solara Puducherry onsite,India,India,Puducherry,Fourth Partner Energy,Solara Active Pharma,ONSITE_PPA,1100,,,CONSTRUCTION,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,FPEL-SOLARA,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,5,8,0,6,0,0,5,1,65,ACCEPTABLE,RESEARCH_POOL,SCREENING_ONLY,1.1 MW under construction.
IN-FPEL-SOLARA-DHULE,Solara Ambernath offsite,India,India,Dhule Maharashtra,Fourth Partner Energy,Solara Active Pharma,OFFSITE_PPA,4000,,,OPERATING,YES,,NOT_DISCLOSED,,,standardized benchmark,FPEL-SOLARA,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,0,2,0,0,5,1,63,EXCLUDE,RESEARCH_POOL,SCREENING_ONLY,4 MWp offsite.
IN-FPEL-FILATEX-DAHEJ,Filatex Dahej rooftop,India,India,Dahej,Fourth Partner Energy,Filatex,ONSITE_PPA,1000,,,OPERATING,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,FPEL-FILATEX,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,RESEARCH_POOL,SCREENING_ONLY,1 MW rooftop.
IN-FPEL-FILATEX-DADRA,Filatex Dadra rooftop,India,India,Dadra,Fourth Partner Energy,Filatex,ONSITE_PPA,1000,,,OPERATING,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,FPEL-FILATEX,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,RESEARCH_POOL,SCREENING_ONLY,1 MW rooftop.
IN-CLEANTECH-EXIDE-HALDIA,Exide Haldia rooftop,India,India,Haldia,Cleantech Solar,Exide Chloride Metals,ONSITE_PPA,2600,,,COMMISSIONED,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,CLEANTECH-HALDIA,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,Lifetime 76.8 GWh not annual.
IN-FPEL-SAHARANPUR,FPEL Saharanpur park,India,India,Saharanpur,Fourth Partner Energy,Named park clients,OFFSITE_PPA,88000,,,COMMISSIONED,YES,,NOT_DISCLOSED,,,standardized benchmark,FPEL-UP,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,0,2,0,0,5,1,63,EXCLUDE,RESEARCH_POOL,SCREENING_ONLY,Secondary park lead.
IN-FPEL-SHAHJAHANPUR,FPEL Shahjahanpur park,India,India,Shahjahanpur,Fourth Partner Energy,Named park clients,OFFSITE_PPA,15000,,,COMMISSIONED,YES,,NOT_DISCLOSED,,,standardized benchmark,FPEL-UP,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,0,2,0,0,5,1,63,EXCLUDE,RESEARCH_POOL,SCREENING_ONLY,Secondary park lead.
IN-FPEL-BABINA,FPEL Babina park,India,India,Babina,Fourth Partner Energy,Named park clients,OFFSITE_PPA,105000,,,CONSTRUCTION,YES,,NOT_DISCLOSED,,,standardized benchmark,FPEL-UP,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,5,8,0,2,0,0,5,1,61,EXCLUDE,RESEARCH_POOL,SCREENING_ONLY,Secondary park lead.
IN-CLEANTECH-APOLLO,Apollo Tyres portfolio,India,India,Multiple sites,Cleantech Solar,Apollo Tyres,PORTFOLIO_DISTRIBUTED,43000,,,OPERATING,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,CLEANTECH-APOLLO,OBSERVED_PROJECT_FACT,STRONG,8,3,5,7,5,10,0,7,8,0,6,0,0,5,1,65,ACCEPTABLE,RESEARCH_POOL,SCREENING_ONLY,Generation claim flagged.
IN-FPEL-FLIPKART-MH,Flipkart Maharashtra rooftop BESS,India,India,Maharashtra,Fourth Partner Energy,Flipkart,ONSITE_PPA,1880,,,OPERATING,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,FPEL-FY25,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,RESEARCH_POOL,SCREENING_ONLY,1.88 MWp plus BESS.
IN-FPEL-KOSMO-ONE,FPEL Kosmo One,India,India,India,Fourth Partner Energy,Kosmo One,ONSITE_PPA,6300,,,OPERATING,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,FPEL-KOSMO,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,RESEARCH_POOL,SCREENING_ONLY,6.3 MWp PPA lead.
IN-CLEANMAX-TN-30MW,Clean Max Tamil Nadu,India,India,Tamil Nadu,Clean Max,Tata Communications,ONSITE_PRIVATE_WIRE_PPA,30000,,,OPERATING,YES,25,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,IFC-38331,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,8,6,0,0,5,1,75,STRONG,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,25-year PPA.
IN-CLEANMAX-KA-30MW,Clean Max Karnataka reference,India,India,Karnataka,Clean Max,Not disclosed,PORTFOLIO_DISTRIBUTED,30000,,,OPERATING,NO,,NOT_DISCLOSED,,,standardized benchmark,IFC-38331,OBSERVED_PROJECT_FACT,STRONG,8,5,5,3,5,10,0,7,2,0,2,0,0,5,1,53,EXCLUDE,RESEARCH_POOL,SCREENING_ONLY,IFC visited plant.
IN-AZURE-GANDHINAGAR,Azure Sun Gandhinagar rooftop,India,India,Gandhinagar,Azure Sun Energy,Torrent Power,ROOFTOP_CONCESSION,2500,,,OPERATING,YES,25,NOT_DISCLOSED,6200000,4600000,IFC A Loan; standardized debt overlay,IFC-32148,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,8,2,7,7,5,1,85,GOLD,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,USD6.2m cost; USD4.6m IFC loan.
IN-FPE-UPPAL,FPE Uppal operating rooftop,India,India,Uppal,Fourth Partner Energy,Not disclosed,ONSITE_PPA,547,,,OPERATING,NO,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,IFC-48551,OBSERVED_PROJECT_FACT,STRONG,8,5,5,3,5,10,0,7,2,0,6,0,0,5,1,57,EXCLUDE,RESEARCH_POOL,SCREENING_ONLY,IFC visited operating asset.
IN-IFC-FPE-1_5GW,FPE India portfolio,India,India,Multiple India sites,Fourth Partner Energy,Multiple C&I clients,PORTFOLIO_DISTRIBUTED,1500000,,,AGGREGATE,NO,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,IFC-48551,OBSERVED_PROJECT_FACT,STRONG,8,3,5,3,5,10,0,3,2,0,6,0,0,5,1,51,EXCLUDE,RESEARCH_POOL,SCREENING_ONLY,Portfolio only.
IN-IFC-AZURE-RG,Azure RG expansion,India,India,Multiple India sites,Azure Power Rooftop,Multiple C&I clients,PORTFOLIO_DISTRIBUTED,,,,AGGREGATE,NO,,NOT_DISCLOSED,,,standardized benchmark,IFC-40099,OBSERVED_PROJECT_FACT,STRONG,8,3,5,3,5,0,0,3,2,0,2,0,0,5,1,37,EXCLUDE,RESEARCH_POOL,SCREENING_ONLY,Program only.
IN-IFC-CANDI,Candi India platform,India,India,Multiple India sites,Candi Solar,Multiple C&I clients,PLATFORM,118000,,,AGGREGATE,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,IFC-49109,OBSERVED_PROJECT_FACT,STRONG,8,3,5,3,5,10,0,3,8,0,6,0,0,5,1,57,EXCLUDE,RESEARCH_POOL,SCREENING_ONLY,India South Africa aggregate.
TH-IFC-CLEANMAX-72MW,Cleanmax Thailand portfolio,Thailand,Thailand,Four visited sites,Cleanmax Thailand,Multiple C&I clients,PORTFOLIO_DISTRIBUTED,72000,,,OPERATING,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,IFC-48136,OBSERVED_PROJECT_FACT,STRONG,8,3,5,3,5,10,0,7,8,0,6,0,0,5,1,61,EXCLUDE,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,Long-term PPA; site split absent.
TH-CLEANTECH-DENSO,Denso TEN Rayong,Thailand,Thailand,Rayong,Cleantech Solar,Denso TEN,ONSITE_PPA,1000,,,COMMISSIONED,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,CLEANTECH-DENSO-TH,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,Lifetime 18 GWh not annual.
TH-GY-189-PLATFORM,GY Thailand platform,Thailand,Thailand,Thailand,GreenYellow STOA DEG,Multiple C&I clients,PLATFORM,189000,,,AGGREGATE,NO,,NOT_DISCLOSED,,,standardized benchmark,GY-PLATFORM-189,OBSERVED_PROJECT_FACT,STRONG,8,3,5,3,5,10,0,3,2,0,2,0,0,5,1,47,EXCLUDE,RESEARCH_POOL,SCREENING_ONLY,Platform only.
SG-CLEANTECH-YAMAZAKI,Yamazaki Mazak Singapore,Singapore,Singapore,Singapore,Cleantech Solar,Yamazaki Mazak,ONSITE_PPA,1600,,,OPERATING,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,CLEANTECH-PORTFOLIO,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,RESEARCH_POOL,SCREENING_ONLY,1.6 MWp lead.
EU-GY-GIVA-VISANO,GIVA Visano,Italy,European Union,Visano Lombardy,GreenYellow,GIVA,ONSITE_PPA,8000,,,OPERATING,YES,20,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-GIVA,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,8,6,0,0,5,1,75,STRONG,RESEARCH_POOL,SCREENING_ONLY,8 MWp; generation combined.
EU-GY-GIVA-CELLA,GIVA Cella Dati,Italy,European Union,Cella Dati Lombardy,GreenYellow,GIVA,ONSITE_PPA,3000,,,OPERATING,YES,20,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-GIVA,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,8,6,0,0,5,1,75,STRONG,RESEARCH_POOL,SCREENING_ONLY,3 MWp; generation combined.
EU-GY-ALTAREA-BOLLENE-ROOF,Altarea Bollene rooftop,France,European Union,Bollene,GreenYellow,Altarea,ROOFTOP_PPA,9600,12000000,,OPERATING,YES,30,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-ALTAREA,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,9.6 MWp; >12 GWh/year.
EU-GY-ALTAREA-BOLLENE-CARPORT,Altarea Bollene carport,France,European Union,Bollene,GreenYellow,Altarea,CARPORT_PPA,612,870000,,OPERATING,YES,30,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-ALTAREA,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,612 kWp; 870 MWh/year.
EU-GY-ALTAREA-SECOND-ROOF,Altarea second rooftop,France,European Union,France site,GreenYellow,Altarea,ROOFTOP_PPA,7200,9200000,,OPERATING,YES,30,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-ALTAREA,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,7.2 MWp; 9.2 GWh/year.
EU-GY-ALTAREA-SECOND-SELF,Altarea second self consumption,France,European Union,France site,GreenYellow,Altarea,ONSITE_SELF_CONSUMPTION,400,510000,,OPERATING,YES,30,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-ALTAREA,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,RESEARCH_POOL,SCREENING_ONLY,400 kWp; 510 MWh/year.
EU-GY-ALTAREA-SECOND-CARPORT,Altarea second carport,France,European Union,France site,GreenYellow,Altarea,CARPORT_PPA,1000,1300000,,OPERATING,YES,30,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-ALTAREA,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,RESEARCH_POOL,SCREENING_ONLY,1 MWp; 1.3 GWh/year.
EU-GY-ALTAREA-PUCEUL,Altarea Puceul rooftop,France,European Union,Puceul,GreenYellow,Altarea,ROOFTOP_PPA,3000,3000000,,OPERATING,YES,30,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-ALTAREA,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,RESEARCH_POOL,SCREENING_ONLY,3 MWp; 3 GWh/year.
EU-GY-PANATTONI-MOISSY,Panattoni Moissy Cramayel,France,European Union,Moissy Cramayel,GreenYellow,Panattoni,ROOFTOP_PPA,1300,1321000,,OPERATING,YES,30,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-PANATTONI,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,1.3 MWp; 1.321 GWh/year.
EU-GY-CMC-ANDRYCHOW,CMC Andrychow rooftop,Poland,European Union,Andrychow,GreenYellow,CMC,ONSITE_SELF_CONSUMPTION,653,,,OPERATING,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-CMC,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,0,7,8,0,6,0,0,5,1,67,ACCEPTABLE,RESEARCH_POOL,SCREENING_ONLY,653 kWp.
EU-GY-STELLANTIS-CHARLEVILLE,Stellantis Charleville,France,European Union,Charleville,GreenYellow,Stellantis,ONSITE_PPA,8000,4500000,,OPERATING,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-STELLANTIS,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,8,0,6,0,0,5,1,77,STRONG,RESEARCH_POOL,SCREENING_ONLY,8 MWp; 4.5 GWh/year.
EU-GY-STELLANTIS-VALENCIENNES,Stellantis Valenciennes,France,European Union,Valenciennes,GreenYellow,Stellantis,ONSITE_PPA,6000,4600000,,OPERATING,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-STELLANTIS,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,8,0,6,0,0,5,1,77,STRONG,RESEARCH_POOL,SCREENING_ONLY,6 MWp; 4.6 GWh/year.
EU-GY-STELLANTIS-CAEN,Stellantis Caen,France,European Union,Caen,GreenYellow,Stellantis,ONSITE_PPA,4000,2300000,,OPERATING,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-STELLANTIS,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,8,0,6,0,0,5,1,77,STRONG,RESEARCH_POOL,SCREENING_ONLY,4 MWp; 2.3 GWh/year.
EU-GY-STELLANTIS-SLOVAKIA,Stellantis Slovakia,Slovakia,European Union,Slovakia,GreenYellow,Stellantis,ONSITE_PPA,13000,7000000,,OPERATING,YES,17,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-STELLANTIS,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,RESEARCH_POOL,SCREENING_ONLY,13 MWp; 7 GWh/year.
EU-GY-SAFRAN-EVRY,Safran Evry Corbeil,France,European Union,Evry Corbeil,GreenYellow,Safran,ONSITE_SELF_CONSUMPTION,8600,8300000,,COMMISSIONED,YES,25,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-SAFRAN,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,RESEARCH_POOL,SCREENING_ONLY,8.6 MWp; 8.3 GWh/year.
EU-GY-PTP-CADIZ,PTP Iberica Cadiz,Spain,European Union,Cadiz,GreenYellow,PTP Iberica,ONSITE_SELF_CONSUMPTION,1840,2400000,,CONSTRUCTION,YES,,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-PTP,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,5,8,0,6,0,0,5,1,75,STRONG,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,1.84 MWp; 2.4 GWh/year.
EU-GY-SASOL-ITALY,Sasol Terranova,Italy,European Union,Terranova dei Passerini,GreenYellow,Sasol,OFFSITE_PPA,5100,7610000,,OPERATING,YES,10,NOT_DISCLOSED,,,standardized benchmark,GY-EU-SASOL,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,8,8,2,0,0,5,1,81,STRONG,SELECTED_PRE_ECONOMICS,SCREENING_ONLY,5.1 MWp; 7.61 GWh/year.
EU-GY-FRUEHAUF-AUXERRE,Fruehauf Auxerre carports,France,European Union,Auxerre,GreenYellow,Fruehauf,CARPORT_PPA,11000,12700000,,OPERATING,YES,30,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-FRUEHAUF,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,RESEARCH_POOL,SCREENING_ONLY,11 MWp; 12.7 GWh/year.
EU-GY-TRIBALLAT-RIANS,Triballat Rians carport,France,European Union,Rians,GreenYellow,Triballat,CARPORT_PPA,500,600000,,COMMISSIONED,YES,25,PUBLIC_SELF_CONSUMPTION,,,standardized benchmark,GY-EU-TRIBALLAT,OBSERVED_PROJECT_FACT,STRONG,8,5,5,7,5,10,10,7,8,8,6,0,0,5,1,85,GOLD,RESEARCH_POOL,SCREENING_ONLY,500 kWp; 600 MWh/year.
